item_id,order_id,product_id,quantity,unit_price,discount_percent
ITM100082,O10234,P1421,2,729.22,5
ITM100083,O10196,P1532,1,63.37,20
ITM100084,O10465,P1036,1,1000.17,20
ITM100085,O10119,P1388,4,582.35,0
ITM100086,O10234,P1030,3,804.35,5
ITM100087,O10332,P1249,7,361.85,20
ITM100088,O10081,P1362,7,722.99,5
ITM100089,O10525,P1083,5,190.09,20
ITM100090,O10332,P1223,6,805.32,0
ITM100091,O10062,P1333,6,660.01,50
ITM100092,O10161,P1101,2,122.05,0
ITM100093,O10454,P1531,6,476.59,25
ITM100094,O10488,P1140,1,298.82,20
ITM100095,O10557,P1128,3,372.47,15
ITM100096,O10549,P1375,4,114.68,0
ITM100097,O10338,P1071,3,765.39,0
ITM100098,O10474,P1162,5,142.67,0
ITM100099,O10106,P1022,2,41.41,15
ITM100100,O10587,P1137,1,146.52,0
ITM100101,O10095,P1526,8,193.41,50
ITM100102,O10118,P1505,4,1073.03,0
ITM100103,O10454,P1105,4,395.23,5
ITM100104,O10537,P1109,7,414.22,50
ITM100105,O10637,P1398,3,332.01,25
ITM100106,O10595,P1325,8,580.87,0
ITM100107,O10421,P1448,7,285.15,50
ITM100108,O10644,P1257,6,408.66,0
ITM100109,O10370,P1452,6,554.98,25
ITM100110,O10476,P1318,5,886.98,50
ITM100111,O10444,P1146,-2,365.36,20
ITM100112,O10387,P1254,4,198.56,5
ITM100113,O10548,P1183,3,448.35,25
ITM100114,O10165,P1525,8,729.12,25
ITM100115,O10539,P1316,3,782.75,25
ITM100116,O10170,P1324,-1,198.3,5
ITM100117,O10217,P1259,4,31.13,25
ITM100118,O10111,P1474,5,956.14,0
ITM100119,O10305,P1017,3,718.96,0
ITM100120,O10203,P1054,1,242.52,0
ITM100121,O10073,P1399,6,866.69,0
ITM100122,O10170,P1031,5,466.02,5
ITM100123,O10514,P1223,2,781.47,0
ITM100124,O10020,P1465,1,603.35,50
ITM100125,O10146,P1320,8,453.99,15
ITM100126,O10326,P1487,5,101.46,10
ITM100127,O10390,P1071,8,913.36,10
ITM100128,O10581,P1294,8,183.12,0
ITM100129,O10282,P1105,6,426.76,20
ITM100130,O10365,P1047,3,100.31,0
ITM100131,O10558,P1451,2,458.73,0
ITM100132,O10129,P1440,1,423.08,15
ITM100133,O10045,P1303,8,707.99,25
ITM100134,O10353,P1416,7,467.48,5
ITM100135,O10402,P1233,5,334.35,0
ITM100136,O10353,P1342,6,921.52,25
ITM100137,O10109,P1390,1,245.1,0
ITM100138,O10151,P1153,2,536.77,20
ITM100139,O10597,P1480,7,108.16,0
ITM100140,O10315,P1154,-1,540.37,0
ITM100141,O10561,P1177,3,564.29,20
ITM100142,O10246,P1066,-3,483.68,25
ITM100143,O10287,P1398,4,289.56,25
ITM100144,O10399,P1091,1,409.59,10
ITM100145,O10142,P1400,5,594.68,0
ITM100146,O10527,P1261,2,104.0,0
ITM100147,O10226,P1173,1,734.13,15
ITM100148,O10222,P1086,8,86.03,0
ITM100149,O10380,P1006,4,128.89,20
ITM100150,O10138,P1234,8,276.99,20
ITM100151,O10100,P1055,7,288.2,10
ITM100152,O10533,P1350,5,265.76,25
ITM100153,O10280,P1347,2,227.61,50
ITM100154,O10343,P1198,3,634.67,0
ITM100155,O10332,P1064,1,739.69,15
ITM100156,O10396,P1284,6,441.65,50
ITM100157,O10617,P1326,1,76.09,25
ITM100158,O10594,P1001,1,195.56,10
ITM100159,O10114,P1054,8,219.48,10
ITM100160,O10391,P1453,5,448.69,25
ITM100161,O10454,P1315,8,271.59,50
ITM100162,O10013,P1247,1,682.25,0
ITM100163,O10078,P1333,3,501.15,0
ITM100164,O10310,P1074,1,279.21,0
ITM100165,O10417,P1093,5,621.59,0
ITM100166,O10018,P1136,7,65.12,0
ITM100167,O10210,P1034,2,355.24,0
ITM100168,O10259,P1116,7,921.03,0
ITM100169,O10372,P1403,5,435.73,0
ITM100170,O10140,P1276,8,304.53,25
ITM100171,O10315,P1025,5,7.29,5
ITM100172,O10370,P1488,8,372.49,0
ITM100173,O10631,P1101,7,78.18,0
ITM100174,O10286,P1183,-2,593.04,0
ITM100175,O10010,P1269,4,365.46,10
ITM100176,O10588,P1441,4,385.72,20
ITM100177,O10268,P1481,6,670.29,5
ITM100178,O10460,P1112,7,37.01,15
ITM100179,O10493,P1155,7,98.04,15
ITM100180,O10349,P1093,-2,546.61,0
ITM100181,O10450,P1170,8,484.99,20
ITM100182,O10580,P1364,4,81.44,20
ITM100183,O10647,P1121,5,46.43,20
ITM100184,O10259,P1489,7,472.01,50
ITM100185,O10266,P1136,8,52.1,0
ITM100186,O10314,P1039,2,389.65,0
ITM100187,O10222,P1395,8,103.41,0
ITM100188,O10336,P1158,2,742.68,10
ITM100189,O10041,P1144,1,614.43,5
ITM100190,O10292,P1138,1,201.93,20
ITM100191,O10067,P1124,7,721.8,15
ITM100192,O10159,P1209,1,498.15,15
ITM100193,O10595,P1251,2,131.75,15
ITM100194,O10266,P1316,7,533.31,25
ITM100195,O10496,P1165,7,445.23,25
ITM100196,O10568,P1489,2,460.84,50
ITM100197,O10600,P1174,5,922.99,50
ITM100198,O10379,P1261,6,92.4,5
ITM100199,O10298,P1390,8,154.42,20
ITM100200,O10513,P1236,8,109.04,20
ITM100201,O10479,P1382,7,108.58,10
ITM100202,O10486,P1045,8,468.87,0
ITM100203,O10473,P1427,5,260.64,0
ITM100204,O10306,P1217,2,844.99,15
ITM100205,O10161,P1075,7,543.81,0
ITM100206,O10570,P1530,6,374.75,15
ITM100207,O10020,P1388,4,480.62,50
ITM100208,O10029,P1400,1,477.54,0
ITM100209,O10413,P1519,2,801.64,50
ITM100210,O10547,P1189,4,636.88,20
ITM100211,O10101,P1459,1,1134.75,0
ITM100212,O10347,P1389,2,175.08,20
ITM100213,O10002,P1014,7,738.48,10
ITM100214,O10355,P1002,6,166.16,20
ITM100215,O10004,P1325,2,995.39,15
ITM100216,O10355,P1027,6,19.97,50
ITM100217,O10456,P1137,5,230.0,50
ITM100218,O10366,P1111,3,711.64,15
ITM100219,O10471,P1116,4,1001.97,15
ITM100220,O10144,P1243,3,223.63,0
ITM100221,O10260,P1539,5,452.24,10
ITM100222,O10590,P1331,8,534.8,0
ITM100223,O10476,P1308,2,402.5,0
ITM100224,O10460,P1519,4,1085.61,0
ITM100225,O10239,P1475,2,531.12,25
ITM100226,O10159,P1039,1,673.33,15
ITM100227,O10076,P1241,6,186.46,50
ITM100228,O10627,P1493,3,564.7,5
ITM100229,O10386,P1203,2,75.73,0
ITM100230,O10429,P1137,6,288.69,0
ITM100231,O10174,P1236,8,152.86,0
ITM100232,O10583,P1508,7,408.09,5
ITM100233,O10033,P1109,6,606.43,0
ITM100234,O10085,P1080,8,452.85,15
ITM100235,O10566,P1037,4,784.58,10
ITM100236,O10494,P1081,8,494.87,0
ITM100237,O10454,P1468,8,468.41,25
ITM100238,O10198,P1321,7,395.31,0
ITM100239,O10593,P1005,2,258.28,10
ITM100240,O10334,P1334,7,226.68,10
ITM100241,O10057,P1278,2,554.76,10
ITM100242,O10221,P1446,1,253.62,0
ITM100243,O10493,P1545,4,423.68,50
ITM100244,O10606,P1098,5,539.85,25
ITM100245,O10583,P1343,4,296.05,0
ITM100246,O10371,P1026,2,646.06,5
ITM100247,O10138,P1504,3,354.84,10
ITM100248,O10382,P1070,4,328.81,25
ITM100249,O10179,P1007,1,587.87,25
ITM100250,O10367,P1314,8,883.92,5
ITM100251,O10414,P1010,7,1057.04,20
ITM100252,O10153,P1406,6,128.98,15
ITM100253,O10601,P1255,1,798.93,5
ITM100254,O10063,P1111,1,782.63,0
ITM100255,O10292,P1507,7,279.17,0
ITM100256,O10320,P1031,3,369.85,15
ITM100257,O10303,P1049,6,687.99,0
ITM100258,O10019,P1369,6,874.7,15
ITM100259,O10316,P1212,4,770.63,0
ITM100260,O10649,P1401,-3,249.72,25
ITM100261,O10536,P1196,5,795.09,50
ITM100262,O10459,P1269,7,369.02,0
ITM100263,O10384,P1063,1,363.36,15
ITM100264,O10267,P1139,7,163.87,15
ITM100265,O10237,P1376,3,362.72,15
ITM100266,O10140,P1145,2,528.03,5
ITM100267,O10531,P1117,7,373.46,50
ITM100268,O10621,P1307,1,24.28,10
ITM100269,O10027,P1516,1,421.3,5
ITM100270,O10032,P1141,7,129.97,15
ITM100271,O10249,P1026,2,428.82,0
ITM100272,O10449,P1485,1,629.78,15
ITM100273,O10572,P1377,5,132.84,0
ITM100274,O10525,P1125,3,317.1,50
ITM100275,O10528,P1359,2,256.72,5
ITM100276,O10111,P1010,6,851.51,20
ITM100277,O10221,P1103,8,171.12,50
ITM100278,O10583,P1096,3,701.3,0
ITM100279,O10015,P1097,3,646.92,20
ITM100280,O10070,P1268,8,158.44,0
ITM100281,O10432,P1061,8,337.27,15
ITM100282,O10149,P1151,6,349.38,5
ITM100283,O10195,P1347,3,273.71,50
ITM100284,O10090,P1517,6,347.82,5
ITM100285,O10238,P1125,-2,244.95,10
ITM100286,O10599,P1349,3,103.63,5
ITM100287,O10151,P1318,7,1098.7,5
ITM100288,O10403,P1120,2,320.24,10
ITM100289,O10482,P1184,3,1024.82,5
ITM100290,O10211,P1320,1,445.05,10
ITM100291,O10480,P1057,8,525.33,10
ITM100292,O10107,P1410,8,22.68,10
ITM100293,O10087,P1075,8,522.72,10
ITM100294,O10172,P1218,1,433.32,0
ITM100295,O10122,P1378,8,356.24,20
ITM100296,O10507,P1437,2,420.1,20
ITM100297,O10401,P1176,2,462.57,10
ITM100298,O10565,P1010,6,898.06,5
ITM100299,O10607,P1343,7,467.57,5
ITM100300,O10010,P1084,1,634.18,0
ITM100301,O10081,P1492,5,387.43,50
ITM100302,O10595,P1418,3,399.73,15
ITM100303,O10428,P1425,6,730.14,10
ITM100304,O10357,P1418,5,439.97,20
ITM100305,O10320,P1187,2,221.3,10
ITM100306,O10440,P1107,2,926.27,0
ITM100307,O10485,P1514,8,410.93,50
ITM100308,O10258,P1365,2,142.31,0
ITM100309,O10375,P1001,4,147.79,10
ITM100310,O10059,P1096,2,790.69,50
ITM100311,O10053,P1456,5,793.22,50
ITM100312,O10362,P1348,4,474.67,0
ITM100313,O10467,P1485,8,642.19,10
ITM100314,O10484,P1007,4,569.49,10
ITM100315,O10517,P1044,2,68.54,20
ITM100316,O10537,P1540,8,103.58,0
ITM100317,O10013,P1340,5,452.04,0
ITM100318,O10031,P1005,-1,166.18,10
ITM100319,O10233,P1370,6,121.1,20
ITM100320,O10311,P1193,2,740.42,0
ITM100321,O10431,P1437,5,313.02,0
ITM100322,O10475,P1491,2,103.36,15
ITM100323,O10479,P1063,6,323.19,10
ITM100324,O10166,P1072,4,694.58,0
ITM100325,O10019,P1386,8,558.96,0
ITM100326,O10348,P1299,2,487.66,15
ITM100327,O10071,P1092,7,526.91,5
ITM100328,O10522,P1244,8,272.98,0
ITM100329,O10187,P1043,2,21.17,0
ITM100330,O10144,P1550,1,568.1,0
ITM100331,O10048,P1112,6,49.48,25
ITM100332,O10592,P1333,1,472.51,25
ITM100333,O10483,P1297,5,552.98,20
ITM100334,O10363,P1184,4,976.18,25
ITM100335,O10219,P1300,2,455.05,0
ITM100336,O10282,P1050,8,91.71,0
ITM100337,O10018,P1211,8,1027.11,50
ITM100338,O10588,P1122,6,753.15,0
ITM100339,O10266,P1320,2,319.47,5
ITM100340,O10476,P1223,7,565.15,5
ITM100341,O10304,P1415,1,309.46,25
ITM100342,O10410,P1104,8,823.35,50
ITM100343,O10482,P1292,2,559.66,0
ITM100344,O10537,P1346,4,527.6,50
ITM100345,O10103,P1408,5,963.75,50
ITM100346,O10568,P1220,8,387.89,5
ITM100347,O10626,P1417,4,546.28,0
ITM100348,O10425,P1002,2,212.57,0
ITM100349,O10143,P1460,5,474.54,50
ITM100350,O10473,P1027,6,24.35,10
ITM100351,O10334,P1442,7,905.89,50
ITM100352,O10381,P1388,1,358.1,25
ITM100353,O10236,P1353,1,927.54,5
ITM100354,O10542,P1244,3,163.51,5
ITM100355,O10272,P1434,8,713.06,15
ITM100356,O10277,P1153,1,681.39,0
ITM100357,O10391,P1110,8,642.16,50
ITM100358,O10314,P1354,4,697.73,0
ITM100359,O10245,P1025,5,11.04,0
ITM100360,O10340,P1509,2,732.47,10
ITM100361,O10358,P1098,2,551.27,25
ITM100362,O10014,P1071,3,843.02,15
ITM100363,O10638,P1544,6,403.1,20
ITM100364,O10513,P1368,7,1209.25,0
ITM100365,O10613,P1469,7,77.8,20
ITM100366,O10614,P1292,1,393.96,0
ITM100367,O10359,P1441,4,490.53,0
ITM100368,O10362,P1206,5,32.29,50
ITM100369,O10622,P1500,5,653.39,50
ITM100370,O10390,P1470,5,318.32,50
ITM100371,O10133,P1550,7,404.43,0
ITM100372,O10610,P1238,2,185.42,5
ITM100373,O10600,P1485,8,562.29,50
ITM100374,O10047,P1380,3,261.82,15
ITM100375,O10549,P1453,6,710.37,0
ITM100376,O10544,P1013,6,85.29,10
ITM100377,O10126,P1281,6,679.14,0
ITM100378,O10140,P1510,2,551.32,20
ITM100379,O10505,P1390,6,136.72,15
ITM100380,O10005,P1155,1,95.57,10
ITM100381,O10020,P1285,6,132.84,10
ITM100382,O10096,P1432,6,192.49,50
ITM100383,O10294,P1132,2,815.63,0
ITM100384,O10418,P1471,6,622.78,10
ITM100385,O10150,P1118,2,217.67,15
ITM100386,O10299,P1529,2,460.02,50
ITM100387,O10588,P1374,6,798.93,50
ITM100388,O10364,P1209,3,491.2,0
ITM100389,O10417,P1365,4,155.72,20
ITM100390,O10194,P1119,3,226.06,25
ITM100391,O10195,P1196,4,877.48,50
ITM100392,O10628,P1044,4,98.06,0
ITM100393,O10345,P1190,1,261.05,25
ITM100394,O10445,P1501,3,389.79,15
ITM100395,O10122,P1158,4,934.41,20
ITM100396,O10557,P1292,7,709.74,0
ITM100397,O10372,P1336,2,393.88,5
ITM100398,O10220,P1372,7,367.33,0
ITM100399,O10203,P1423,6,18.63,0
ITM100400,O10276,P1313,2,444.76,0
ITM100401,O10598,P1517,5,398.22,0
ITM100402,O10492,P1309,2,108.89,15
ITM100403,O10146,P1104,2,742.89,20
ITM100404,O10292,P1076,3,156.95,0
ITM100405,O10357,P1417,-3,634.16,50
ITM100406,O10533,P1477,-2,931.77,15
ITM100407,O10387,P1085,8,176.59,0
ITM100408,O10134,P1072,6,545.65,0
ITM100409,O10486,P1393,1,59.12,15
ITM100410,O10266,P1070,7,513.54,0
ITM100411,O10631,P1060,7,614.7,25
ITM100412,O10268,P1414,-3,717.2,15
ITM100413,O10546,P1388,1,440.42,0
ITM100414,O10350,P1277,1,488.44,5
ITM100415,O10282,P1235,4,399.8,10
ITM100416,O10399,P1174,6,752.91,50
ITM100417,O10421,P1075,-3,501.29,25
ITM100418,O10365,P1280,1,252.66,25
ITM100419,O10431,P1267,7,265.15,0
ITM100420,O10054,P1425,1,630.9,20
ITM100421,O10420,P1443,8,977.43,25
ITM100422,O10537,P1039,2,509.33,0
ITM100423,O10123,P1351,2,38.86,0
ITM100424,O10099,P1161,3,363.31,20
ITM100425,O10162,P1284,2,816.0,50
ITM100426,O10194,P1225,3,250.96,0
ITM100427,O10020,P1081,-2,498.05,0
ITM100428,O10326,P1377,6,136.89,15
ITM100429,O10183,P1168,8,645.2,15
ITM100430,O10600,P1253,1,78.87,25
ITM100431,O10174,P1362,3,740.45,10
ITM100432,O10340,P1328,2,218.54,0
ITM100433,O10470,P1081,5,410.38,10
ITM100434,O10460,P1058,4,111.85,20
ITM100435,O10160,P1101,5,129.09,25
ITM100436,O10040,P1405,8,528.99,0
ITM100437,O10536,P1346,6,565.76,25
ITM100438,O10205,P1504,1,259.4,10
ITM100439,O10278,P1284,-1,470.44,10
ITM100440,O10118,P1017,6,745.41,0
ITM100441,O10463,P1132,5,751.81,5
ITM100442,O10229,P1360,3,212.02,5
ITM100443,O10119,P1302,5,351.64,15
ITM100444,O10385,P1546,3,548.17,25
ITM100445,O10180,P1233,-2,269.78,0
ITM100446,O10128,P1070,4,573.95,0
ITM100447,O10030,P1209,4,308.47,0
ITM100448,O10339,P1156,7,343.97,0
ITM100449,O10181,P1411,3,520.89,15
ITM100450,O10049,P1440,-3,319.1,5
ITM100451,O10101,P1038,7,395.61,15
ITM100452,O10586,P1287,5,462.15,0
ITM100453,O10046,P1549,-1,200.16,15
ITM100454,O10524,P1248,4,691.53,0
ITM100455,O10260,P1196,5,839.92,0
ITM100456,O10187,P1516,7,467.87,25
ITM100457,O10515,P1110,8,642.69,20
ITM100458,O10023,P1119,2,219.51,0
ITM100459,O10204,P1351,3,36.25,10
ITM100460,O10245,P1527,7,643.66,50
ITM100461,O10315,P1385,4,440.67,0
ITM100462,O10422,P1039,4,605.49,5
ITM100463,O10558,P1169,2,160.93,0
ITM100464,O10121,P1510,2,407.64,10
ITM100465,O10068,P1480,7,107.33,15
ITM100466,O10378,P1002,4,231.37,20
ITM100467,O10499,P1272,7,600.48,5
ITM100468,O10500,P1096,-1,779.63,50
ITM100469,O10360,P1044,4,93.06,0
ITM100470,O10187,P1282,2,42.49,50
ITM100471,O10141,P1366,5,851.96,50
ITM100472,O10392,P1539,4,458.56,10
ITM100473,O10621,P1375,2,119.57,50
ITM100474,O10526,P1143,-3,762.58,15
ITM100475,O10596,P1253,7,40.31,0
ITM100476,O10376,P1428,7,353.53,0
ITM100477,O10434,P1463,8,739.32,25
ITM100478,O10640,P1315,7,377.51,25
ITM100479,O10067,P1286,2,1069.0,5
ITM100480,O10162,P1265,5,553.31,25
ITM100481,O10562,P1155,2,127.86,10
ITM100482,O10092,P1328,4,313.53,0
ITM100483,O10472,P1110,7,707.81,0
ITM100484,O10022,P1282,8,41.55,15
ITM100485,O10316,P1344,1,692.44,20
ITM100486,O10111,P1169,4,89.82,10
ITM100487,O10509,P1054,8,364.3,0
ITM100488,O10326,P1099,7,280.16,10
ITM100489,O10384,P1400,4,497.86,25
ITM100490,O10597,P1024,2,41.6,0
ITM100491,O10392,P1260,1,446.95,10
ITM100492,O10381,P1417,1,747.73,5
ITM100493,O10243,P1308,6,429.97,15
ITM100494,O10105,P1429,1,540.24,0
ITM100495,O10080,P1286,8,769.62,25
ITM100496,O10267,P1037,2,488.47,25
ITM100497,O10331,P1371,4,486.22,50
ITM100498,O10021,P1534,8,791.75,0
ITM100499,O10305,P1442,8,807.66,25
ITM100500,O10196,P1513,8,326.3,15
ITM100501,O10148,P1056,1,475.46,5
ITM100502,O10315,P1056,7,777.0,5
ITM100503,O10149,P1253,6,69.51,50
ITM100504,O10593,P1044,6,75.88,10
ITM100505,O10630,P1101,5,79.68,0
ITM100506,O10509,P1286,1,630.93,0
ITM100507,O10413,P1027,5,26.5,50
ITM100508,O10066,P1186,7,273.31,50
ITM100509,O10649,P1420,2,8.94,15
ITM100510,O10434,P1283,2,106.7,0
ITM100511,O10602,P1225,6,255.67,20
ITM100512,O10249,P1391,8,204.26,0
ITM100513,O10601,P1076,7,173.4,50
ITM100514,O10283,P1209,7,291.68,0
ITM100515,O10186,P1419,5,629.86,10
ITM100516,O10475,P1229,7,36.61,15
ITM100517,O10349,P1434,1,1074.67,25
ITM100518,O10550,P1008,2,218.76,5
ITM100519,O10255,P1072,4,575.01,0
ITM100520,O10084,P1103,8,128.86,50
ITM100521,O10317,P1520,5,918.04,5
ITM100522,O10098,P1270,8,826.7,0
ITM100523,O10229,P1001,4,181.81,0
ITM100524,O10285,P1493,-1,588.89,0
ITM100525,O10276,P1042,8,210.71,0
ITM100526,O10650,P1140,4,491.89,10
ITM100527,O10492,P1114,3,160.98,0
ITM100528,O10468,P1380,7,269.28,20
ITM100529,O10150,P1254,7,317.36,0
ITM100530,O10070,P1330,3,447.05,0
ITM100531,O10214,P1537,3,157.54,0
ITM100532,O10534,P1435,5,653.73,10
ITM100533,O10263,P1331,3,741.76,0
ITM100534,O10110,P1456,3,927.28,20
ITM100535,O10101,P1347,2,253.68,15
ITM100536,O10505,P1045,8,784.94,25
ITM100537,O10224,P1075,4,497.72,15
ITM100538,O10428,P1127,3,1169.48,0
ITM100539,O10015,P1052,8,692.77,25
ITM100540,O10569,P1388,1,574.6,10
ITM100541,O10507,P1279,3,91.19,50
ITM100542,O10609,P1085,2,198.46,0
ITM100543,O10035,P1401,3,215.93,10
ITM100544,O10236,P1135,6,365.91,5
ITM100545,O10221,P1063,3,339.14,5
ITM100546,O10467,P1413,7,373.3,5
ITM100547,O10041,P1188,8,663.62,25
ITM100548,O10026,P1347,6,272.62,5
ITM100549,O10574,P1468,1,343.47,0
ITM100550,O10284,P1064,6,667.09,50
ITM100551,O10556,P1318,4,906.06,25
ITM100552,O10083,P1160,3,333.67,5
ITM100553,O10583,P1492,5,482.68,20
ITM100554,O10120,P1430,3,495.17,5
ITM100555,O10646,P1166,3,61.9,10
ITM100556,O10626,P1212,7,910.76,5
ITM100557,O10493,P1409,3,580.06,10
ITM100558,O10083,P1120,1,372.42,50
ITM100559,O10129,P1435,8,988.49,0
ITM100560,O10550,P1546,1,531.65,25
ITM100561,O10438,P1360,5,166.96,15
ITM100562,O10539,P1120,3,314.82,25
ITM100563,O10204,P1268,4,147.49,5
ITM100564,O10176,P1471,1,621.32,20
ITM100565,O10258,P1414,4,952.08,0
ITM100566,O10272,P1169,5,173.68,15
ITM100567,O10447,P1393,3,56.03,25
ITM100568,O10599,P1315,7,395.03,0
ITM100569,O10638,P1076,1,216.07,5
ITM100570,O10178,P1120,7,353.34,15
ITM100571,O10480,P1423,7,31.08,20
ITM100572,O10633,P1276,7,312.69,5
ITM100573,O10214,P1259,4,30.16,0
ITM100574,O10356,P1016,2,81.63,20
ITM100575,O10059,P1483,5,411.91,20
ITM100576,O10356,P1525,1,836.08,25
ITM100577,O10460,P1005,5,146.8,10
ITM100578,O10619,P1250,5,623.18,0
ITM100579,O10343,P1270,8,768.95,25
ITM100580,O10383,P1048,1,464.12,20
ITM100581,O10104,P1014,8,739.9,25
ITM100582,O10146,P1482,2,98.79,0
ITM100583,O10090,P1275,8,141.55,25
ITM100584,O10025,P1333,3,541.64,0
ITM100585,O10422,P1460,3,437.31,20
ITM100586,O10056,P1531,6,261.62,20
ITM100587,O10333,P1425,3,638.82,0
ITM100588,O10484,P1462,1,75.83,25
ITM100589,O10067,P1195,4,104.05,10
ITM100590,O10117,P1086,8,70.39,0
ITM100591,O10574,P1247,1,664.54,0
ITM100592,O10235,P1027,7,25.64,0
ITM100593,O10638,P1409,5,333.68,15
ITM100594,O10582,P1370,6,172.76,0
ITM100595,O10299,P1485,2,843.14,20
ITM100596,O10043,P1500,8,465.46,0
ITM100597,O10483,P1486,2,717.31,0
ITM100598,O10172,P1265,2,897.52,0
ITM100599,O10413,P1111,6,991.75,0
ITM100600,O10319,P1425,8,461.75,10
ITM100601,O10095,P1121,6,45.26,10
ITM100602,O10247,P1166,5,62.58,0
ITM100603,O10478,P1353,1,690.44,15
ITM100604,O10386,P1398,6,357.44,0
ITM100605,O10484,P1172,7,350.26,15
ITM100606,O10056,P1331,7,698.38,0
ITM100607,O10078,P1192,3,918.91,0
ITM100608,O10091,P1074,7,380.75,0
ITM100609,O10324,P1169,5,155.11,0
ITM100610,O10622,P1082,5,264.68,0
ITM100611,O10532,P1092,-3,651.3,5
ITM100612,O10228,P1007,5,557.0,15
ITM100613,O10214,P1434,1,1070.33,10
ITM100614,O10536,P1202,7,893.85,15
ITM100615,O10016,P1281,2,512.77,0
ITM100616,O10163,P1197,8,576.95,5
ITM100617,O10421,P1013,6,67.84,20
ITM100618,O10542,P1301,4,906.79,10
ITM100619,O10457,P1075,7,844.97,0
ITM100620,O10306,P1410,5,20.24,50
ITM100621,O10183,P1021,3,1165.47,15
ITM100622,O10181,P1385,7,427.15,10
ITM100623,O10614,P1180,6,185.26,0
ITM100624,O10057,P1259,6,28.45,0
ITM100625,O10102,P1038,7,588.81,0
ITM100626,O10405,P1352,8,182.96,0
ITM100627,O10563,P1419,2,612.64,50
ITM100628,O10316,P1441,8,434.98,20
ITM100629,O10563,P1423,1,32.39,15
ITM100630,O10302,P1035,7,356.14,0
ITM100631,O10103,P1514,2,446.8,15
ITM100632,O10387,P1164,8,283.83,50
ITM100633,O10236,P1450,6,219.0,25
ITM100634,O10251,P1459,1,954.23,0
ITM100635,O10467,P1015,6,125.49,15
ITM100636,O10205,P1352,7,177.46,15
ITM100637,O10604,P1417,3,568.59,20
ITM100638,O10089,P1116,6,799.73,20
ITM100639,O10633,P1044,8,96.52,15
ITM100640,O10077,P1487,5,118.38,50
ITM100641,O10066,P1229,6,33.29,0
